价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
4999,//item.jd.com/100021731804.html,ThinkPadE15,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
10999,//item.jd.com/100016616028.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,512GB,none
,,,,,,,,,,,,
10899,//item.jd.com/10028197776345.html,联想（Lenovo）拯救者R9000K,2-2.5kg,20.0mm以上,16.0-16.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,none,RTX3060
,,,,,,,,,,,,
9499,//item.jd.com/100012701655.html,ROG幻13,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,none,Windows 10 不带Office,AMD R9,16GB,512GB,RTX3050
,,,,,,,,,,,,
15999,//item.jd.com/100023662340.html,惠普战99,1.5-2kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i9,32GB,none,none
,,,,,,,,,,,,
5199,//item.jd.com/10021123967556.html,联想（Lenovo）联想威6 2021酷睿版,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i3,16GB,512GB,集成显卡
,,,,,,,,,,,,
9499,//item.jd.com/100013333248.html,ThinkPadT,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX330
,,,,,,,,,,,,
5299,//item.jd.com/10029911227245.html,华硕（ASUS）adolbook13 2021,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4799,//item.jd.com/100013479214.html,ThinkPadE15,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
6699,//item.jd.com/100021567676.html,机械师T58-V,none,20.0mm以上,15.0-15.9英寸,小于5小时,none,其他,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
6599,//item.jd.com/100011431719.html,雷神911Air星战,2-2.5kg,20.0mm以上,15.0-15.9英寸,5-7小时,none,Windows 10 不带Office,Intel i7,8GB,512GB,RTX3050Ti
,,,,,,,,,,,,
10099,//item.jd.com/100017970852.html,华硕灵耀X,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX450
,,,,,,,,,,,,
2799,//item.jd.com/100024169908.html,宏碁EX215-32-C7SA,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,none,8GB,256GB,none
,,,,,,,,,,,,
3199,//item.jd.com/100019498800.html,京东京造JDBook,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i3,8GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100017751544.html,机械革命F1,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
8199,//item.jd.com/100012301237.html,机械革命蛟龙,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,100%sRGB,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3060
