价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
5299,//item.jd.com/100021150248.html,华硕无畏Pro14 标压锐龙版,none,15.1-18.0mm,14.0-14.9英寸,none,DCI-P3,Windows 10 不带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
5499,//item.jd.com/100020877742.html,联想小新Air14Plus,none,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,AMD R5,16GB,512GB,MX450
,,,,,,,,,,,,
6999,//item.jd.com/100021349706.html,宏碁暗影骑士·龙,none,20.0mm以上,15.0-15.9英寸,none,72%NTSC,其他,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
6999,//item.jd.com/100011175665.html,联想小新Pro,none,15.1-18.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,GTX1650
,,,,,,,,,,,,
4988,//item.jd.com/100013759311.html,华为MateBook D,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,8GB,512GB,none
,,,,,,,,,,,,
7999,//item.jd.com/100011190725.html,惠普16-b0005TX,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3060
,,,,,,,,,,,,
6969,//item.jd.com/100025932106.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
8799,//item.jd.com/100012301235.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
4189,//item.jd.com/10031299389342.html,华硕（ASUS）V4200EA,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
9999,//item.jd.com/100026000270.html,ROG魔霸新锐,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,AMD R9,16GB,512GB,RTX3060
,,,,,,,,,,,,
6799,//item.jd.com/100012684487.html,荣耀猎人HONOR HUNTER V700,2-2.5kg,18.1-20.0mm,16.0-16.9英寸,小于5小时,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX2060
,,,,,,,,,,,,
6499,//item.jd.com/100014373843.html,荣耀HYM-W76,1.5-2kg,18.1-20.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,GTX1650
,,,,,,,,,,,,
5499,//item.jd.com/100019543670.html,联想小新Pro,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5899,//item.jd.com/100022003020.html,神舟Z7-TA5NS,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
5388,//item.jd.com/100017048040.html,华为MateBook D,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
6199,//item.jd.com/100021802488.html,ThinkPadThinkBook 15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,MX450
,,,,,,,,,,,,
9999,//item.jd.com/100021965280.html,联想拯救者Y9000P,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
6699,//item.jd.com/100021976300.html,联想Yoga,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,MX450
,,,,,,,,,,,,
6999,//item.jd.com/100026163664.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
7288,//item.jd.com/100024403104.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
7499,//item.jd.com/100024398906.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6599,//item.jd.com/100015691166.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5999,//item.jd.com/100021802458.html,ThinkPadThinkBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,MX450
,,,,,,,,,,,,
5099,//item.jd.com/100016777694.html,戴尔Ins 15-3501,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100014616589.html,ThinkPadThinkBook 15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
4499,//item.jd.com/100015781264.html,华硕Redolbook14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,45%NTSC,Windows 10 不带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
7799,//item.jd.com/100026269866.html,华硕灵耀Pro14,none,其他,14.0-14.9英寸,none,DCI-P3,Windows 10 带Office,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
6399,//item.jd.com/100025288126.html,华为MateBook D,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
5999,//item.jd.com/100014195837.html,华硕无畏Pro14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,DCI-P3,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
6399,//item.jd.com/100011658641.html,宏碁暗影骑士,none,20.0mm以上,15.0-15.9英寸,none,72%NTSC,其他,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
7299,//item.jd.com/100024403122.html,华为MateBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,集成显卡
,,,,,,,,,,,,
